"STATION","NAME","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-01-01","0.00","0.0","0.0","37","31","35"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-01-02","0.00","0.0","0.0","40","29","29"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-01-03","0.00","0.0","0.0","42","23","35"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-01-04","0.00","0.0","0.0","41","27","27"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-01-05","0.00","0.0","0.0","44","22","39"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-01-06","0.54","0.0","0.0","41","34","39"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-01-07","0.05","0.0","0.0","39","35","36"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-01-08","0.27","0.0","0.0","43","30","38"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-01-09","1.48","0.1","0.0","49","33","35"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-01-10","0.04","0.0","0.0","36","30","30"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-01-11","0.00","0.0","0.0","53","30","40"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-01-12","1.31","0.0","0.0","44","31","31"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-01-13","0.03","0.5","0.0","32","23","24"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-01-14","0.06","1.0","1.0","24","8","8"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-01-15","0.00","0.0","0.0","14","5","12"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-01-16","0.00","0.0","0.0","18","8","8"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-01-17","0.00","0.0","0.0","28","4","20"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-01-18","0.02","0.3","0.0","33","18","28"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-01-19","0.13","1.6","2.0","28","8","8"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-01-20","0.00","0.0","1.0","17","2","7"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-01-21","0.00","0.0","0.0","27","0","14"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-01-22","0.00","0.0","0.0","46","11","38"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-01-23","0.35","0.0","0.0","49","38","49"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-01-24","1.09","0.0","0.0","59","49","57"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-01-25","0.59","0.0","0.0","60","56","59"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-01-26","0.01","0.0","0.0","59","44","44"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-01-27","0.53","0.0","0.0","46","41","43"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-01-28","0.58","0.0","0.0","43","39","39"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-01-29","0.00","0.0","0.0","39","32","32"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-01-30","0.02","0.0","0.0","40","31","39"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-01-31","0.00","0.0","0.0","42","32","32"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-02-01","0.00","0.0","0.0","58","30","48"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-02-02","0.00","0.0","0.0","55","38","39"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-02-03","0.00","0.0","0.0","55","31","42"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-02-04","0.00","0.0","0.0","57","31","44"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-02-05","0.00","0.0","0.0","58","31","38"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-02-06","0.00","0.0","0.0","48","32","32"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-02-07","0.00","0.0","0.0","63","28","47"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-02-08","0.00","0.0","0.0","65","41","54"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-02-09","0.00","0.0","0.0","62","49","56"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-02-10","0.50","0.0","0.0","59","44","44"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-02-11","0.10","0.0","0.0","51","38","42"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-02-12","0.00","0.0","0.0","53","35","42"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-02-13","0.00","0.0","0.0","54","30","37"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-02-14","0.00","0.0","0.0","60","33","44"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-02-15","0.00","0.0","0.0","63","37","40"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-02-16","0.12","1.1","1.0","44","28","28"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-02-17","0.04","0.8","0.0","31","18","18"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-02-18","0.00","0.0","0.0","46","15","29"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-02-19","0.00","0.0","0.0","54","22","34"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-02-20","0.00","0.0","0.0","62","27","38"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-02-21","0.00","0.0","0.0","68","33","60"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-02-22","0.57","0.0","0.0","60","48","48"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-02-23","0.00","0.0","0.0","58","41","42"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-02-24","0.00","0.0","0.0","46","28","28"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-02-25","0.00","0.0","0.0","55","25","43"
"USC00154958","LOUISVILLE WEATHER FORECAST OFFICE, KY US","2024-02-26","0.03","0.0","0.0","73","39","66"
